,ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Latitude,Longitude,X Coordinate,Y Coordinate,Year,Month,Day,Weekday,HourOfDay
2487957,7749373,2010-10-08 18:00:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,19.0,41.939954643,-87.651068478,1169873.0,1921448.0,2010,10,8,4,18
2123630,8373204,2011-10-20 19:00:00,THEFT,OVER $500,STREET,False,False,12.0,41.885718307,-87.63926247200001,1173245.0,1901710.0,2011,10,20,3,19
26824,11623680,2019-03-13 14:30:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,15.0,41.884807341999995,-87.75033191,1143003.0,1901153.0,2019,3,13,2,14
2875324,7151644,2009-09-28 17:35:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,4.0,41.73276923,-87.551319924,1197699.0,1846182.0,2009,9,28,0,17
6361594,1930132,2002-01-08 09:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,14.0,41.91835542,-87.692604894,1158631.0,1913490.0,2002,1,8,1,9
1777990,8861824,2012-10-26 10:55:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,7.0,41.784413195999996,-87.636447538,1174311.0,1864801.0,2012,10,26,4,10
128117,11474634,2018-10-12 12:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,41.784351601,-87.666763819,1166043.0,1864713.0,2018,10,12,4,12
2542705,7665077,2010-08-18 17:30:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,4.0,41.702159592,-87.54256171799999,1200192.0,1835050.0,2010,8,18,2,17
5670064,2789855,2003-06-19 07:00:00,THEFT,OVER $500,STREET,False,False,6.0,41.739034196999995,-87.62267794,1178203.0,1848296.0,2003,6,19,3,7
4501753,4578506,2005-12-15 19:00:00,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,True,False,10.0,41.855785481,-87.72727190299999,1149357.0,1890621.0,2005,12,15,3,19
6439924,1837020,2001-11-05 22:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,20.0,41.982911373,-87.65645071,1168285.0,1937090.0,2001,11,5,0,22
3761032,5726986,2007-08-17 22:40:00,THEFT,OVER $500,PARK PROPERTY,False,False,1.0,41.884333364,-87.619266937,1178694.0,1901250.0,2007,8,17,4,22
1688959,9004139,2013-02-10 13:54:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,1.0,41.885384381,-87.62948651100001,1175908.0,1901610.0,2013,2,10,6,13
5620004,2855731,2003-07-25 13:30:00,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,True,False,12.0,41.874112944000004,-87.67086593299999,1164672.0,1897413.0,2003,7,25,4,13
4216086,4910467,2006-08-06 03:54:27,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,True,False,12.0,41.855915894,-87.669930525,1164978.0,1890784.0,2006,8,6,6,3
1543555,9235847,2013-07-28 12:45:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,3.0,41.774215543000004,-87.590057899,1186995.0,1861191.0,2013,7,28,6,12
3500366,6171089,2008-04-03 09:30:00,ASSAULT,SIMPLE,STREET,False,False,9.0,41.823556849,-87.631367455,1175580.0,1879076.0,2008,4,3,3,9
2039186,8450390,2012-01-23 11:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,4.0,41.740141609,-87.55270344799999,1197297.0,1848865.0,2012,1,23,0,11
1104954,9972929,2015-02-24 02:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,4.0,41.752999364000004,-87.566254121,1193557.0,1853517.0,2015,2,24,1,2
6452163,1825286,2001-10-28 09:32:02,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,True,False,2.0,41.812184109,-87.628153577,1176490.0,1874939.0,2001,10,28,6,9
1808191,8816353,2012-09-22 22:30:00,THEFT,OVER $500,SMALL RETAIL STORE,False,False,8.0,41.779200251,-87.68785456299999,1160305.0,1862792.0,2012,9,22,5,22
2250411,8128791,2011-06-19 19:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,9.0,41.837461515,-87.638954811,1173471.0,1884126.0,2011,6,19,6,19
6666855,1554296,2001-05-28 11:17:19,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2.0,41.853766107,-87.62695921299999,1176691.0,1890094.0,2001,5,28,0,11
1608073,9135703,2013-05-18 20:00:00,THEFT,$500 AND UNDER,STREET,False,False,9.0,41.853734591999995,-87.633016015,1175041.0,1890069.0,2013,5,18,5,20
